temps,info
2021-07-04 17:48:07,GET /css/admin.css 404 152 - 3.358 ms

2021-07-04 17:48:16,GET /verifier 200 9853 - 4.826 ms

2021-07-04 17:48:16,GET /css/verification.css 404 159 - 2.827 ms

2021-07-04 17:48:20,GET /profil 304 - - 4.522 ms

2021-07-04 17:48:20,GET /css/admin.css 404 152 - 3.081 ms

2021-07-04 17:48:21,GET /saisie 200 36878 - 8.438 ms

2021-07-04 17:48:21,GET /css/PageSaisie.css 404 157 - 2.484 ms

2021-07-04 17:48:23,GET /profil 304 - - 5.918 ms

2021-07-04 17:48:23,GET /css/admin.css 404 152 - 2.387 ms

2021-07-04 17:48:28,GET /profil 304 - - 3.988 ms

2021-07-04 17:48:28,GET /css/admin.css 404 152 - 2.711 ms

2021-07-04 17:48:45,GET /saisie 304 - - 8.294 ms

2021-07-04 17:48:45,GET /css/PageSaisie.css 404 157 - 3.845 ms

2021-07-04 17:48:53,GET /verifier 304 - - 5.321 ms

2021-07-04 17:48:54,GET /css/verification.css 404 159 - 4.287 ms

2021-07-04 17:49:23,GET /profil 302 64 - 33.594 ms

2021-07-04 17:49:23,GET /connecter 200 6458 - 82.142 ms

2021-07-04 17:49:33,POST /connecter 302 64 - 124.545 ms

2021-07-04 17:49:33,GET /connecter 200 6504 - 6.480 ms

2021-07-04 17:49:40,POST /connecter 302 58 - 113.080 ms

2021-07-04 17:49:40,GET /profil 200 10799 - 21.972 ms

2021-07-04 17:49:40,GET /css/admin.css 404 152 - 8.510 ms

2021-07-04 17:49:55,GET /comptes 304 - - 4.759 ms

2021-07-04 17:49:55,GET /css/verification.css 404 159 - 6.153 ms

2021-07-04 17:49:59,GET /comptes 304 - - 6.960 ms

2021-07-04 17:49:59,GET /css/verification.css 404 159 - 3.059 ms

2021-07-04 17:50:04,GET /listeRec 500 3049 - 30.965 ms

2021-07-04 17:50:14,GET /archiveDossier 304 - - 188.366 ms

2021-07-04 17:50:14,GET /main.css 404 147 - 2.666 ms

2021-07-04 17:50:17,GET /listeDoComplets 200 23315 - 57.424 ms

2021-07-04 17:50:17,GET /main.js 404 146 - 3.535 ms

2021-07-04 17:50:23,GET /listeDoIncomplets 200 48083 - 14.499 ms

2021-07-04 17:50:24,GET /main.js 404 146 - 2.740 ms

2021-07-04 17:50:32,GET /listeDoIncomplets 304 - - 8.989 ms

2021-07-04 17:50:32,GET /main.js 404 146 - 5.742 ms

2021-07-04 17:50:35,POST /validerRecours 200 2023 - 12.886 ms

2021-07-04 17:50:38,GET /listeDemandeurs 200 58983 - 26.267 ms

2021-07-04 17:50:38,GET /main.js 404 146 - 2.623 ms

2021-07-04 17:50:59,GET /listeValidation 200 18696 - 43.886 ms

2021-07-04 17:50:59,GET /main.js 404 146 - 2.847 ms

2021-07-04 17:51:03,GET /listeValidation 304 - - 6.505 ms

2021-07-04 17:51:03,GET /main.js 404 146 - 3.967 ms

2021-07-04 17:51:03,GET /main.js 404 146 - 3.942 ms

2021-07-04 17:51:05,POST /validerRecours 200 2252 - 27.549 ms

2021-07-04 17:51:08,GET /main.js 404 146 - 2.625 ms

2021-07-04 17:51:10,GET /listeRec 500 3049 - 12.999 ms

2021-07-04 17:51:45,GET /profil 302 64 - 45.589 ms

2021-07-04 17:51:45,GET /connecter 200 6458 - 41.426 ms

2021-07-04 17:51:51,POST /connecter 302 58 - 145.504 ms

2021-07-04 17:51:51,GET /profil 200 6443 - 18.449 ms

2021-07-04 17:51:52,GET /css/admin.css 404 152 - 7.551 ms

2021-07-04 17:51:56,GET /DossierVal 302 64 - 5.045 ms

2021-07-04 17:51:56,GET /connecter 200 6458 - 33.711 ms

2021-07-04 17:52:04,POST /connecter 302 58 - 91.309 ms

2021-07-04 17:52:04,GET /profil 200 6443 - 9.357 ms

2021-07-04 17:52:04,GET /css/admin.css 404 152 - 5.480 ms

2021-07-04 17:52:07,GET /DossierVal 200 17256 - 45.955 ms

2021-07-04 17:52:08,GET /main.js 404 146 - 2.385 ms

2021-07-04 17:52:18,GET /DossierNonVal 200 22303 - 33.690 ms

2021-07-04 17:52:18,GET /main.js 404 146 - 4.724 ms

2021-07-04 17:52:24,POST /validerDossiers 200 16048 - 104.815 ms

2021-07-04 17:52:24,GET /main.js 404 146 - 2.626 ms

2021-07-04 17:52:24,GET /main.js 404 146 - 2.485 ms

2021-07-04 17:52:27,POST /Valide 200 9 - 6.411 ms

2021-07-04 17:52:34,GET /DossierNonVal 200 21471 - 7.562 ms

2021-07-04 17:52:34,GET /main.js 404 146 - 2.883 ms

2021-07-04 17:52:34,GET /main.js 404 146 - 3.843 ms

2021-07-04 17:52:40,GET /DossierVal 200 17909 - 9.591 ms

2021-07-04 17:52:40,GET /main.js 404 146 - 4.675 ms

2021-07-04 17:52:41,GET /main.js 404 146 - 2.454 ms

2021-07-05 15:19:53,GET /main.js 404 146 - 1503.537 ms

2021-07-05 15:21:18,GET /DossierVal 302 64 - 82.139 ms

2021-07-05 15:21:18,GET /connecter 200 6458 - 103.696 ms

2021-07-05 15:21:28,POST /connecter 302 58 - 455.243 ms

2021-07-05 15:21:28,GET /profil 200 6613 - 12.905 ms

2021-07-05 15:21:28,GET /css/admin.css 404 152 - 7.262 ms

2021-07-05 15:22:04,GET /profil 302 64 - 2.609 ms

2021-07-05 15:22:04,GET /connecter 200 6458 - 45.939 ms

2021-07-05 15:22:11,POST /connecter 302 58 - 98.138 ms

2021-07-05 15:22:11,GET /profil 200 6613 - 18.573 ms

2021-07-05 15:22:11,GET /css/admin.css 404 152 - 6.495 ms

2021-07-05 15:22:14,GET /saisie 304 - - 30.898 ms

2021-07-05 15:22:14,GET /css/PageSaisie.css 404 157 - 2.809 ms

2021-07-05 15:27:13,GET /profil 200 7189 - 4.261 ms

2021-07-05 15:27:14,GET /css/admin.css 404 152 - 3.385 ms

2021-07-05 15:28:58,GET /profil 200 7189 - 7.722 ms

2021-07-05 15:28:58,GET /css/admin.css 404 152 - 2.850 ms

2021-07-05 15:30:27,GET /profil 200 7242 - 5.411 ms

2021-07-05 15:30:27,GET /css/admin.css 404 152 - 2.910 ms

2021-07-05 15:30:40,GET /profil 200 7242 - 5.163 ms

2021-07-05 15:30:40,GET /css/admin.css 404 152 - 2.922 ms

2021-07-05 15:30:57,GET /profil 200 7242 - 7.932 ms

2021-07-05 15:30:57,GET /css/admin.css 404 152 - 2.395 ms

2021-07-05 15:31:04,GET /profil 200 7216 - 5.057 ms

2021-07-05 15:31:04,GET /css/admin.css 404 152 - 2.755 ms

2021-07-05 15:32:25,GET /profil 200 7249 - 5.024 ms

2021-07-05 15:32:25,GET /css/admin.css 404 152 - 2.609 ms

2021-07-05 15:32:35,GET /profil 200 7222 - 9.221 ms

2021-07-05 15:32:35,GET /css/admin.css 404 152 - 2.522 ms

2021-07-05 15:33:02,GET /profil 200 7254 - 37.537 ms

2021-07-05 15:33:02,GET /css/admin.css 404 152 - 4.285 ms

2021-07-05 15:33:47,GET /profil 200 7286 - 6.151 ms

2021-07-05 15:33:47,GET /css/admin.css 404 152 - 4.195 ms

2021-07-05 15:33:59,GET /profil 200 7285 - 5.325 ms

2021-07-05 15:33:59,GET /css/admin.css 404 152 - 2.336 ms

2021-07-05 15:34:40,GET /profil 200 7082 - 5.041 ms

2021-07-05 15:34:40,GET /css/admin.css 404 152 - 2.685 ms

2021-07-05 15:34:57,GET /profil 200 7253 - 6.023 ms

2021-07-05 15:34:57,GET /css/admin.css 404 152 - 4.162 ms

2021-07-05 15:35:34,GET /profil 200 7306 - 7.386 ms

2021-07-05 15:35:34,GET /css/admin.css 404 152 - 2.801 ms

2021-07-05 15:37:34,GET /profil 200 7244 - 4.240 ms

2021-07-05 15:37:34,GET /css/admin.css 404 152 - 2.349 ms

2021-07-05 15:37:56,GET /profil 200 7270 - 5.720 ms

2021-07-05 15:37:56,GET /css/admin.css 404 152 - 4.317 ms

2021-07-05 15:38:19,GET /profil 200 7268 - 4.031 ms

2021-07-05 15:38:19,GET /css/admin.css 404 152 - 4.262 ms

2021-07-05 15:38:34,GET /profil 200 7294 - 6.928 ms

2021-07-05 15:38:34,GET /css/admin.css 404 152 - 2.308 ms

2021-07-05 15:38:46,GET /profil 200 7293 - 4.687 ms

2021-07-05 15:38:46,GET /css/admin.css 404 152 - 1.713 ms

2021-07-05 15:39:04,GET /profil 200 7295 - 7.459 ms

2021-07-05 15:39:04,GET /css/admin.css 404 152 - 2.559 ms

2021-07-05 15:39:37,GET /profil 200 7321 - 4.414 ms

2021-07-05 15:39:37,GET /css/admin.css 404 152 - 2.278 ms

