temps,info
2021-07-05 16:33:00,GET /main.js 404 146 - 2.627 ms

2021-07-05 16:33:40,GET /recours 200 14233 - 12.508 ms

2021-07-05 16:33:40,GET /main.js 404 146 - 2.416 ms

2021-07-05 16:35:05,GET /recours 200 14297 - 4.410 ms

2021-07-05 16:35:06,GET /main.js 404 146 - 2.612 ms

2021-07-05 16:35:16,GET /recours 200 14267 - 5.374 ms

2021-07-05 16:35:16,GET /main.js 404 146 - 2.404 ms

2021-07-05 16:36:19,GET /recours 200 14320 - 9.669 ms

2021-07-05 16:36:19,GET /main.js 404 146 - 2.186 ms

2021-07-05 16:37:24,GET /recours 200 14296 - 18.302 ms

2021-07-05 16:37:24,GET /main.js 404 146 - 2.690 ms

2021-07-05 16:37:39,GET /recours 200 14238 - 22.321 ms

2021-07-05 16:37:39,GET /main.js 404 146 - 2.417 ms

2021-07-05 16:37:56,GET /recours 200 14364 - 9.969 ms
